;;;;;;;;;;;;;x
DIM_cultuurstelsel_multatuli2_desc;A former colonial officer who left the service after an altercation with a local Regent, has now written to you complaining about the treatment he has received. A fervent liberal and proponent of inlander rights, he claims to have written a book detailing abuses committed by both the colonial government and local Heads under the Cultuurstelsel. Having been reduced to poverty by his treatment, he is threatening to publish this book unless he is fully rehabilitated, which in this case means: a position of Regent on Java, full restoration of his pension, a large advance and, most preposterously, a decoration for his 'service.';;;;;;;;;;;;;x
DIM_max_havelaar_title;Multatuli;;;;;;;;;;;;;x
DIM_max_havelaar_desc;'I am broker in coffee, and live on the Lauriersgracht No. 37.'\nWith these words begins the novel Max Havelaar, which has by now 'sent a shudder through the land.' The novel describes the consequences of the colonial system in Java, in which government and local Heads cooperated to enrich themselves at the expense of the people. In the example of the body of the Javanese, murdered on the orders of the regent, floating down the river as a present from the sharks of the interior to the sharks in the sea, after that poor wretch had complained about the Regent, the 'humdrum' story of that one buffalo of Saidjah's father, the village in Lampung set ablaze by Dutch forces. Cumulating in the majestic, almost terrifying, final chord in which Multatuli exposed Holland as a 'pirate state' among the nations, and conjured the king not to tolerate any longer that more than 30 million Javanese are maltreated and exploited in his name in the 'glorious realm of Insulinde, that coiled round the Equator like a girdle of emerald.';;;;;;;;;;;;;x
DIM_batavia_revolutie_title;The Batavian Revolution;;;;;;;;;;;;;x
DIM_batavia_revolutie_desc;Inspired by events in Europe, a group of prominent citizens has gather in Batavia to protest our educational policy, or more specifically the lack thereof, in the East. Leaving most without any education whatsoever. Those who can afford it, Europeans and Indo-Europeans alike, resort to sending their children to the Motherland for an expensive private education. This is almost an legal requirement, as only those who have studied at the Royal Academy in Delft are eligible for official posts in the East. The protesters are now demanding the revision of the educational system: the end of the 'Delft Monopoly,' the opening of more and better schools, and the end of the discrimination against Indo-Europeans. Furthermore they are demanding more personal and economic freedoms: freedom of the press, the end of the autocratic government, a liberalisation of trade, the end of slavery, and the revision of the local currency.;;;;;;;;;;;;;x
DIM_cultuurstelsel_hoevell_title;Baron Van Hoevell;;;;;;;;;;;;;x
DIM_cultuurstelsel_hoevell_desc;'People of the Netherlands, does a bloodguilt not burn on your consciousness? For two centuries has your flag flow on Java: For two centuries you have waived the sceptre of domination: Millions upon millions have flowed to your treasure on the toiling of the inlanders: And you have returned nothing to them.' \n Member of Parliament Wolter Robert baron van Hoevell has emerged as one of the strongest critics of our colonial administration of Java and the Cultuurstelsel in particular. Originally serving as a minister in Batavia, he was forced to leave the Indies due to his liberal and anti-governmental tendencies. Very popular in the Indies: it is said that when he left, he was sent of by 'half of Batavia.' As one of the few MPs who has actually visited the Indies, he can describe the situation there with great expertise and 'disturbing eloquence.';;;;;;;;;;;;;x
DIM_pangka_title;Colonial contract up for tender;;;;;;;;;;;;;x
DIM_pangka_desc;Under the Cultuurstelsel private contracts are signed for the refining of the sugar. Now one of the most lucrative contracts on Java has expired and is up for tender again. We've been approached by close associates of us who ask to forgo the normal tender procedure, and award the contract directly to them. Such a arrangement will pose no legal hurdles. More worrisome, however, is that they have requested a governmental credit line to bridge the gap between the awarding of the contract and the actual operating of the refinery. Due to the distance between the Motherland and the Indies, such requests are not unreasonable. The more liberal elements of society might not take kindly to such governmental interference in the market though.;;;;;;;;;;;;;x
DIM_pangka_affair_title;The Pangka Affair;;;;;;;;;;;;;x
DIM_pangka_affair_desc;Under the Cultuurstelsel private contracts are signed for the refining of the sugar. As these contracts are some of the most lucrative colonial contracts, there is always a lot of interest when they are up for tender. Shady dealings revolving around the awarding of the highly lucrative Pangka contract has now evolved into a public scandal. Under pressure from the king, the contract was awarded without tender to a royal associate, and a governmental line of credit extended. The contracting party then promptly sold their contract for a sum vastly greater than they had originally paid for it, duping the treasury. Worse still is that, due to legal problems resulting from this, the refinery has not been able to operate for some time, leaving valuable loads of sugar unprocessed.\nParliament has long since been fed up with the monkey business surrounding the awarding of the sugar contracts. The weak performance of the minister has now giving parliament the impetus to demand reform.;;;;;;;;;;;;;x
DIM_regeringsregelement_title;Indisch Regeringsregelement;;;;;;;;;;;;;x
DIM_regeringsregelement_desc;The East Indies is de facto ruled as an absolute monarchy with the Governor-General as 'King.' This has long been a point of contention for liberals. The Regeringsregelement aims to bring the government of the East Indies under parliamentary scrutiny. Furthermore it reforms and limits the spread of the Cultuurstelsel (to ease the suffering of the inlanders), puts a limit on the Herendienst, offers freedom of religion, settles issues of race and promises to end slavery in the East.;;;;;;;;;;;;;x
DIM_regeringsregelement_zending_title;Missions in the East Indies?;;;;;;;;;;;;;x
DIM_regeringsregelement_zending_desc;There have been few limits imposed on Christian mission in the East Indies. In the past, this often lead to friction between the various denomination, especially when operating in the same region. The Christianization of the East has been hampered by this. The missions also had a tendency to chose more sensitive area's as basis of operation, greatly upsetting the local populace. The Regeringsregelement attempts to remedy these issue's. Special permission has to be asked from the Governor-General before new missions can be started, and no two different missions may operate in the same region. The Regeringsregelement also allows for the Governor-General to declare some regions off-limits to missions, thus reducing unrest under the inlanders. The only question remains which denomination we will favour in the East. Will it be the Calvinists, our traditional religion, or shall we favour the Catholics, a historically repressed religion?;;;;;;;;;;;;;x
DIM_regeringsregelement_tech_title;I should not be here;;;;;;;;;;;;;x
DIM_regeringsregelement_tech_desc;I am a technical work around to an event in the Dutch(-Indies) Improvement Mod. I should not be displayed. For optimal game-play experience, trigger me. Thank you.;;;;;;;;;;;;;x
DIM_end_hadj_tax_title;End the Hajj Tax;;;;;;;;;;;;;x
DIM_end_hadj_tax_desc;The Hajj is the Islamic pilgrimage to Mecca. It is considered the religious duty of every able-bodied Muslim, who can afford to do so, to attend the Hajj at least once in his life. Every Hajji is treated with the uttermost respect and is granted the right to wear a turban and Arabic clothing. Such is the respect for the Hajji that other Muslims will gladly take over their Herendienst. Most Hajjis become spiritual leaders, and try to educate the populace. Wherein exactly the problem lies. As the Padri wars showed, Hajjis can come back with dangerous new ideas and cause severe social unrest. To limit the number of Hajji's a steep tax was introduced. So steep in fact, that only 70 new Hajjis registered last year. As the Regeringsregelement provides for freedom of religion, some hold the Hajj Tax to be in violation of that principle and argue it should be abolished.;;;;;;;;;;;;;x
